id,question,answer
L3-Q-EASY-001,MSRP ของสินค้ารหัส NT-LT-001 (NovaTech laptop) เป็นเท่าไหร่ครับ,"42,900.00 บาท"
L3-Q-EASY-002,ใน FACT_VENDOR_PAYMENT มีรายการ vendor payment กี่รายการที่เดือนของ posting_date ไม่ตรงกับเดือนของ business_event_date ครับ (นับเป็นจำนวนแถว โดยถือว่าต่างกันก็ต่อเมื่อ ปี-เดือน ของสองคอลัมน์นี้ไม่ตรงกัน),มีรายการ vendor payment จำนวน 767 รายการที่เดือนของ posting_date ไม่ตรงกับเดือนของ business_event_date.
L3-Q-EASY-003,ในตาราง FACT_SHIPPING รายการขนส่งทั้งหมดของ FahMai ถูกจัดการโดย vendor รายใดบ้าง ขอชื่อ vendor (ชื่อบริษัทขนส่ง) และส่วนแบ่งของ vendor นั้นเทียบกับจำนวนรายการขนส่งทั้งหมด (เป็นเปอร์เซ็นต์) ครับ,"| ชื่อบริษัทขนส่ง | ส่วนแบ่งของ vendor เทียบกับจำนวนรายการขนส่งทั้งหมด (%) |
|--------------|--------------------------------------------------------|
| VeloShip     | 100.0%                                                |

**หมายเหตุ:** ไม่มีข้อมูลจาก vendor อื่นในตาราง FACT_SHIPPING สำหรับ FahMai จึงมีเพียง VeloShip เท่านั้นที่จัดการรายการขนส่งทั้งหมด."
L3-Q-EASY-004,ในตาราง FACT_CS_INTERACTION พนักงาน CS คนไหน (employee_id) ที่มีจำนวน interaction บันทึกไว้มากที่สุดครับ และมีทั้งหมดกี่ครั้ง,พนักงาน CS ที่มีจำนวน interaction บันทึกไว้มากที่สุดคือ **EMP-L3-00010** โดยมีทั้งหมด **730 ครั้ง**.
L3-Q-EASY-005,FahMai มี vendor ที่เป็น partner brand (พาร์ทเนอร์แบรนด์สินค้า) ทั้งหมดกี่ราย และ vendor_id ของแต่ละรายคืออะไรบ้างครับ,"FahMai มี vendor ที่เป็น partner brand ทั้งหมด 2 ราย โดยมี vendor_id ดังนี้:  
- V-001  
- V-002"
L3-Q-EASY-006,ในปี 2024-2025 สาขาไหนของฟ้าใหม่ที่มีจำนวน transaction การขายมากที่สุด และยอดรายได้รวม (net_total_thb) ของสาขานั้นเป็นเท่าไหร่ครับ,"สาขาที่มีจำนวน transaction การขายมากที่สุดในปี 2024-2025 คือ BKK-SIAM โดยมียอดรายได้รวม (net_total_thb) อยู่ที่ 1,039,386,349.0 บาท."
L3-Q-EASY-007,ในฐานข้อมูลลูกค้าของฟ้าใหม่ มีลูกค้าทั้งหมดกี่รายในแต่ละ loyalty_tier ครับ ขอจำนวนแยกตามแต่ละ tier ที่ปรากฏใน DIM_CUSTOMER,"ลูกค้าในแต่ละ loyalty_tier ของฟ้าใหม่ มีจำนวนดังนี้:

- gold: 7,500 ราย  
- none: 7,800 ราย  
- platinum: 7,500 ราย  
- silver: 7,200 ราย"
L3-Q-EASY-008,FahMai มีสาขา/สถานที่ทั้งหมดกี่แห่งในไดเรกทอรี DIM_BRANCH ครับ (นับทุกประเภท ทั้งสำนักงานใหญ่ สาขาหน้าร้าน และช่องทาง remote),11 แห่ง
L3-Q-EASY-009,ใครเป็น CEO ของ FahMai ณ วันที่ 1 มิถุนายน 2568 (หลังการเปลี่ยนผ่านผู้บริหารเมื่อ 15 มกราคม 2568) ครับ ขอชื่อ-นามสกุลตามที่ระบุไว้ใน DIM_EMPLOYEE,Vichai Leelawong
L3-Q-EASY-010,ระยะเวลารับประกันของสินค้ารหัส AW-MN-001 (ArcWave monitor flagship) ตามที่ระบุในไดเรกทอรี DIM_PRODUCT คือกี่เดือนครับ,ระยะเวลารับประกันของสินค้ารหัส AW-MN-001 (ArcWave monitor flagship) คือ 24 เดือน.
L3-Q-EASY-011,นโยบาย refund signing authority ladder ฉบับล่าสุด (current version) ของฟ้าใหม่ มีผลบังคับใช้ตั้งแต่วันที่เท่าไหร่ครับ,ไม่สามารถระบุวันที่เริ่มบังคับใช้ของนโยบาย refund signing authority ladder ฉบับล่าสุดของฟ้าใหม่ได้จากข้อมูลที่มีอยู่ เนื่องจากข้อมูลที่ให้มาไม่ได้รวมข้อมูลวันที่เริ่มบังคับใช้ของนโยบายดังกล่าว จึงไม่สามารถตอบคำถามนี้ได้จากข้อมูลที่มีอยู่.
L3-Q-EASY-012,MSRP ของสินค้ารหัส SF-Galaxy-Pro-2568 (SaiFah smartphone flagship) เป็นเท่าไหร่ครับ,"38,900 บาท"
L3-Q-EASY-013,FahMai มี vendor (คู่ค้า/ซัพพลายเออร์) ทั้งหมดกี่รายในไดเรกทอรี DIM_VENDOR ครับ (นับทุกรายในตาราง รวมทั้งที่ยังใช้งานอยู่และที่ยุติสัญญาไปแล้ว),6
L3-Q-EASY-014,สาขาไหนของฟ้าใหม่ที่มีจำนวนรายการขาย (transactions) ตลอดประวัติศาสตร์มากที่สุดครับ และมีกี่รายการ,"สาขา BKK-SIAM มีจำนวนรายการขายตลอดประวัติศาสตร์มากที่สุด จำนวน 18,084 รายการ."
L3-Q-EASY-015,FahMai มีพนักงานทั้งหมดกี่คนในไดเรกทอรี DIM_EMPLOYEE ครับ (นับทุกแถวในตาราง รวมทุกสายงาน ทุกระดับ และทุกสาขา),600
L3-Q-EASY-016,ในวันที่ 15 ธันวาคม 2024 ลูกค้าสามารถคืนสินค้าได้ภายในกี่วันตามนโยบายของฟ้าใหม่ที่มีผลบังคับใช้ ณ วันนั้นครับ,"ไม่สามารถตอบคำถามนี้ได้จากข้อมูลที่ให้มา เนื่องจากข้อมูล SQL ที่ให้มาไม่ได้ระบุข้อมูลเกี่ยวกับนโยบายการคืนสินค้าของฟ้าใหม่ หรือวันที่ที่ลูกค้าสามารถคืนสินค้าได้ภายในกี่วัน ข้อมูลที่มีคือยอดรวมการคืนสินค้าของแต่ละ SKU ในปี 2024 ซึ่งไม่เกี่ยวข้องกับคำถามที่ถามเกี่ยวกับนโยบายการคืนสินค้าในวันที่ 15 ธันวาคม 2024

ดังนั้น ไม่มีข้อมูลเพียงพอที่จะตอบคำถามนี้ได้."
L3-Q-EASY-017,ฟ้าใหม่มีลูกค้าประเภท B2B ทั้งหมดกี่รายใน DIM_CUSTOMER ครับ,ฟ้าใหม่มีลูกค้าประเภท B2B ทั้งหมด 300 รายใน DIM_CUSTOMER.
L3-Q-EASY-018,อัตราการสะสม FahMai Points ต่อบาท (point_earning_rate_per_thb) ของฟ้าใหม่ที่มีผลบังคับใช้ก่อนวันที่ 1 เมษายน 2025 มีค่าเท่าไหร่ครับ,อัตราการสะสม FahMai Points ต่อบาท (point_earning_rate_per_thb) ของฟ้าใหม่ที่มีผลบังคับใช้ก่อนวันที่ 1 เมษายน 2025 คือ 0.0125 ต่อบาท.
L3-Q-EASY-019,ตาม DIM_POLICY_VERSION อัตราการสะสม FahMai Points ต่อบาท (policy_variable=point_earning_rate_per_thb) ของฟ้าใหม่ที่มีผลบังคับใช้ตั้งแต่วันที่ 1 เมษายน 2025 เป็นต้นไป มีค่าเท่าไหร่ครับ,อัตราการสะสม FahMai Points ต่อบาท (policy_variable=point_earning_rate_per_thb) ของฟ้าใหม่ที่มีผลบังคับใช้ตั้งแต่วันที่ 1 เมษายน 2025 เป็นต้นไป มีค่าเท่ากับ 0.0125 ต่อบาท.
L3-Q-EASY-020,ใน FACT_SHIPPING ของ FahMai ทั้งหมด ขอทราบว่า vendor ขนส่งรายใดเป็นผู้รับผิดชอบรายการขนส่งให้ FahMai บ้าง และมีจำนวนรายการขนส่ง (ตามจำนวนแถวใน FACT_SHIPPING) ของ vendor รายนั้นทั้งหมดกี่รายการครับ,"VeloShip เป็นผู้รับผิดชอบรายการขนส่งให้ FahMai ทั้งหมด 23,182 รายการ."
L3-Q-EASY-021,ตามฐานข้อมูลลูกค้าของฟ้าใหม่ใน DIM_CUSTOMER ขณะนี้มีลูกค้าที่อยู่ใน loyalty_tier ระดับ gold ทั้งหมดกี่รายครับ,"มีลูกค้าที่อยู่ใน loyalty_tier ระดับ gold ทั้งหมด 7,500 รายครับ"
L3-Q-EASY-022,ในโปรแกรมสะสมแต้มของ FahMai (อ้างอิงคอลัมน์ loyalty_tier ใน DIM_CUSTOMER) ระดับสมาชิก (tier) ที่สูงที่สุดที่มีการกำหนดให้กับลูกค้าจริงในฐานข้อมูล คือระดับใดครับ,ระดับสมาชิกที่สูงที่สุดที่มีการกำหนดให้กับลูกค้าจริงในฐานข้อมูลคือ silver.
L3-Q-EASY-023,ฟ้าใหม่มีบัญชีธนาคาร (bank account) ที่ใช้ดำเนินงานทั้งหมดกี่บัญชีตาม DIM_BANK_ACCOUNT ครับ,ฟ้าใหม่มีบัญชีธนาคารที่ใช้ดำเนินงานทั้งหมด 14 บัญชีตาม DIM_BANK_ACCOUNT.
L3-Q-EASY-024,ตาม DIM_POLICY_VERSION ของฟ้าใหม่ refund threshold (policy_variable=refund_threshold_thb) ที่มีผลบังคับใช้ ณ วันที่ 1 เมษายน 2025 (หลังการปรับนโยบายล่าสุด) มีค่าเท่าไหร่บาทครับ,5000.0 บาท
L3-Q-EASY-025,ฟ้าใหม่มีแคมเปญโปรโมชัน (promotional campaigns) ที่แตกต่างกันทั้งหมดกี่แคมเปญในไดเรกทอรี DIM_PROMO_CAMPAIGN ครับ (นับทุกแถวในตาราง ทุกปี ทุกประเภท),7 แคมเปญโปรโมชันในไดเรกทอรี DIM_PROMO_CAMPAIGN
L3-Q-MED-001,ขอข้อมูล SKU ที่ขายดีที่สุดของฟ้าใหม่ตามจำนวนชิ้นที่ขายได้ (units sold) แยกเป็น 2 ปี ครับ ปี 2024 (พ.ศ. 2567) คือ SKU ไหน และปี 2025 (พ.ศ. 2568) คือ SKU ไหน? ตอบเป็น sku_id ของแต่ละปีให้ครบทั้งสองค่า,"ไม่พบข้อมูล SKU ที่ขายดีที่สุดในปี 2024 (พ.ศ. 2567) ตามที่ระบุในข้อมูลที่ให้มา แต่พบข้อมูลสำหรับปี 2025 (พ.ศ. 2568) ดังนี้:

- ปี 2025 (พ.ศ. 2568): SKU ที่ขายดีที่สุดคือ `SF-Galaxy-Pro-2568` จำนวน 4,370 ชิ้น

เนื่องจากไม่มีข้อมูล SKU ที่ขายดีที่สุดในปี 2024 (พ.ศ. 2567) จึงไม่สามารถให้ค่า `sku_id` สำหรับปีนั้นได้

**สรุป:**
- ปี 2024 (พ.ศ. 2567): ไม่พบข้อมูล
- ปี 2025 (พ.ศ. 2568): `SF-Galaxy-Pro-2568`"
L3-Q-MED-002,"ใน FACT_BANK_TRANSACTION ของฟ้าใหม่ ขอ single largest deposit แบบรายแถวเดียว (single transaction, ฝั่ง credit) ตลอดช่วงข้อมูลที่มี ขอครบ 4 อย่างคือ (1) จำนวนเงิน amount_thb (บาท), (2) วันที่ business_event_date, (3) account_id ของบัญชีที่รับเงิน, และ (4) source event ของรายการนี้ (เกี่ยวกับสินค้าตัวไหน / promo campaign อะไร / event ของบริษัทคืออะไร) ครับ",ไม่พบรายการที่ตรงกับเงื่อนไขในข้อมูลที่มี ดังนั้นไม่มีการฝากเงินที่มีจำนวนเงินสูงสุดในช่วงข้อมูลที่ให้มา.
L3-Q-MED-003,"อยากทราบครับว่าในกลุ่มลูกค้า B2C ของฟ้าใหม่ ทั้งหมดที่บันทึกใน FACT_LOYALTY_LEDGER ใครเป็นคนที่ ""earn"" คะแนนสะสมรวมตลอดเวลาได้มากที่สุด (รวมเฉพาะ event_type = earned ไม่นับ expired/redeemed/tier_change) ขอ customer_id, จำนวนคะแนนที่ earn รวมทั้งสิ้นเป็นตัวเลข และ loyalty_tier ปัจจุบันของลูกค้ารายนั้นตาม DIM_CUSTOMER ครับ","ลูกค้าที่ ""earn"" คะแนนสะสมรวมมากที่สุดในกลุ่ม B2C ของฟ้าใหม่ คือ CUST-L3-023922 ซึ่งมีจำนวนคะแนนที่ earn รวมทั้งสิ้น 15,738 คะแนน และปัจจุบันอยู่ใน loyalty tier ระดับ platinum."
