date_iso,date_be_string,day_of_week,is_thai_public_holiday,fiscal_year,fiscal_quarter
2024-01-01,2567-01-01,1,false,2567,1
2024-01-02,2567-01-02,2,false,2567,1
2024-01-03,2567-01-03,3,false,2567,1
2024-01-04,2567-01-04,4,false,2567,1
2024-01-05,2567-01-05,5,false,2567,1
2024-01-06,2567-01-06,6,false,2567,1
2024-01-07,2567-01-07,7,false,2567,1
2024-01-08,2567-01-08,1,false,2567,1
2024-01-09,2567-01-09,2,false,2567,1
2024-01-10,2567-01-10,3,false,2567,1
2024-01-11,2567-01-11,4,false,2567,1
2024-01-12,2567-01-12,5,false,2567,1
2024-01-13,2567-01-13,6,false,2567,1
2024-01-14,2567-01-14,7,false,2567,1
2024-01-15,2567-01-15,1,false,2567,1
2024-01-16,2567-01-16,2,false,2567,1
2024-01-17,2567-01-17,3,false,2567,1
2024-01-18,2567-01-18,4,false,2567,1
2024-01-19,2567-01-19,5,false,2567,1
2024-01-20,2567-01-20,6,false,2567,1
2024-01-21,2567-01-21,7,false,2567,1
2024-01-22,2567-01-22,1,false,2567,1
2024-01-23,2567-01-23,2,false,2567,1
2024-01-24,2567-01-24,3,false,2567,1
2024-01-25,2567-01-25,4,false,2567,1
2024-01-26,2567-01-26,5,false,2567,1
2024-01-27,2567-01-27,6,false,2567,1
2024-01-28,2567-01-28,7,false,2567,1
2024-01-29,2567-01-29,1,false,2567,1
2024-01-30,2567-01-30,2,false,2567,1
2024-01-31,2567-01-31,3,false,2567,1
2024-02-01,2567-02-01,4,false,2567,1
2024-02-02,2567-02-02,5,false,2567,1
2024-02-03,2567-02-03,6,false,2567,1
2024-02-04,2567-02-04,7,false,2567,1
2024-02-05,2567-02-05,1,false,2567,1
2024-02-06,2567-02-06,2,false,2567,1
2024-02-07,2567-02-07,3,false,2567,1
2024-02-08,2567-02-08,4,false,2567,1
2024-02-09,2567-02-09,5,false,2567,1
2024-02-10,2567-02-10,6,false,2567,1
2024-02-11,2567-02-11,7,false,2567,1
2024-02-12,2567-02-12,1,false,2567,1
2024-02-13,2567-02-13,2,false,2567,1
2024-02-14,2567-02-14,3,false,2567,1
2024-02-15,2567-02-15,4,false,2567,1
2024-02-16,2567-02-16,5,false,2567,1
2024-02-17,2567-02-17,6,false,2567,1
2024-02-18,2567-02-18,7,false,2567,1
2024-02-19,2567-02-19,1,false,2567,1
2024-02-20,2567-02-20,2,false,2567,1
2024-02-21,2567-02-21,3,false,2567,1
2024-02-22,2567-02-22,4,false,2567,1
2024-02-23,2567-02-23,5,false,2567,1
2024-02-24,2567-02-24,6,false,2567,1
2024-02-25,2567-02-25,7,false,2567,1
2024-02-26,2567-02-26,1,false,2567,1
2024-02-27,2567-02-27,2,false,2567,1
2024-02-28,2567-02-28,3,false,2567,1
2024-02-29,2567-02-29,4,false,2567,1
2024-03-01,2567-03-01,5,false,2567,1
2024-03-02,2567-03-02,6,false,2567,1
2024-03-03,2567-03-03,7,false,2567,1
2024-03-04,2567-03-04,1,false,2567,1
2024-03-05,2567-03-05,2,false,2567,1
2024-03-06,2567-03-06,3,false,2567,1
2024-03-07,2567-03-07,4,false,2567,1
2024-03-08,2567-03-08,5,false,2567,1
2024-03-09,2567-03-09,6,false,2567,1
2024-03-10,2567-03-10,7,false,2567,1
2024-03-11,2567-03-11,1,false,2567,1
2024-03-12,2567-03-12,2,false,2567,1
2024-03-13,2567-03-13,3,false,2567,1
2024-03-14,2567-03-14,4,false,2567,1
2024-03-15,2567-03-15,5,false,2567,1
2024-03-16,2567-03-16,6,false,2567,1
2024-03-17,2567-03-17,7,false,2567,1
2024-03-18,2567-03-18,1,false,2567,1
2024-03-19,2567-03-19,2,false,2567,1
2024-03-20,2567-03-20,3,false,2567,1
2024-03-21,2567-03-21,4,false,2567,1
2024-03-22,2567-03-22,5,false,2567,1
2024-03-23,2567-03-23,6,false,2567,1
2024-03-24,2567-03-24,7,false,2567,1
2024-03-25,2567-03-25,1,false,2567,1
2024-03-26,2567-03-26,2,false,2567,1
2024-03-27,2567-03-27,3,false,2567,1
2024-03-28,2567-03-28,4,false,2567,1
2024-03-29,2567-03-29,5,false,2567,1
2024-03-30,2567-03-30,6,false,2567,1
2024-03-31,2567-03-31,7,false,2567,1
2024-04-01,2567-04-01,1,false,2567,2
2024-04-02,2567-04-02,2,false,2567,2
2024-04-03,2567-04-03,3,false,2567,2
2024-04-04,2567-04-04,4,false,2567,2
2024-04-05,2567-04-05,5,false,2567,2
2024-04-06,2567-04-06,6,false,2567,2
2024-04-07,2567-04-07,7,false,2567,2
2024-04-08,2567-04-08,1,false,2567,2
2024-04-09,2567-04-09,2,false,2567,2
2024-04-10,2567-04-10,3,false,2567,2
2024-04-11,2567-04-11,4,false,2567,2
2024-04-12,2567-04-12,5,false,2567,2
2024-04-13,2567-04-13,6,false,2567,2
2024-04-14,2567-04-14,7,false,2567,2
2024-04-15,2567-04-15,1,false,2567,2
2024-04-16,2567-04-16,2,false,2567,2
2024-04-17,2567-04-17,3,false,2567,2
2024-04-18,2567-04-18,4,false,2567,2
2024-04-19,2567-04-19,5,false,2567,2
2024-04-20,2567-04-20,6,false,2567,2
2024-04-21,2567-04-21,7,false,2567,2
2024-04-22,2567-04-22,1,false,2567,2
2024-04-23,2567-04-23,2,false,2567,2
2024-04-24,2567-04-24,3,false,2567,2
2024-04-25,2567-04-25,4,false,2567,2
2024-04-26,2567-04-26,5,false,2567,2
2024-04-27,2567-04-27,6,false,2567,2
2024-04-28,2567-04-28,7,false,2567,2
2024-04-29,2567-04-29,1,false,2567,2
2024-04-30,2567-04-30,2,false,2567,2
2024-05-01,2567-05-01,3,false,2567,2
2024-05-02,2567-05-02,4,false,2567,2
2024-05-03,2567-05-03,5,false,2567,2
2024-05-04,2567-05-04,6,false,2567,2
2024-05-05,2567-05-05,7,false,2567,2
2024-05-06,2567-05-06,1,false,2567,2
2024-05-07,2567-05-07,2,false,2567,2
2024-05-08,2567-05-08,3,false,2567,2
2024-05-09,2567-05-09,4,false,2567,2
2024-05-10,2567-05-10,5,false,2567,2
2024-05-11,2567-05-11,6,false,2567,2
2024-05-12,2567-05-12,7,false,2567,2
2024-05-13,2567-05-13,1,false,2567,2
2024-05-14,2567-05-14,2,false,2567,2
2024-05-15,2567-05-15,3,false,2567,2
2024-05-16,2567-05-16,4,false,2567,2
2024-05-17,2567-05-17,5,false,2567,2
2024-05-18,2567-05-18,6,false,2567,2
2024-05-19,2567-05-19,7,false,2567,2
2024-05-20,2567-05-20,1,false,2567,2
2024-05-21,2567-05-21,2,false,2567,2
2024-05-22,2567-05-22,3,false,2567,2
2024-05-23,2567-05-23,4,false,2567,2
2024-05-24,2567-05-24,5,false,2567,2
2024-05-25,2567-05-25,6,false,2567,2
2024-05-26,2567-05-26,7,false,2567,2
2024-05-27,2567-05-27,1,false,2567,2
2024-05-28,2567-05-28,2,false,2567,2
2024-05-29,2567-05-29,3,false,2567,2
2024-05-30,2567-05-30,4,false,2567,2
2024-05-31,2567-05-31,5,false,2567,2
2024-06-01,2567-06-01,6,false,2567,2
2024-06-02,2567-06-02,7,false,2567,2
2024-06-03,2567-06-03,1,false,2567,2
2024-06-04,2567-06-04,2,false,2567,2
2024-06-05,2567-06-05,3,false,2567,2
2024-06-06,2567-06-06,4,false,2567,2
2024-06-07,2567-06-07,5,false,2567,2
2024-06-08,2567-06-08,6,false,2567,2
2024-06-09,2567-06-09,7,false,2567,2
2024-06-10,2567-06-10,1,false,2567,2
2024-06-11,2567-06-11,2,false,2567,2
2024-06-12,2567-06-12,3,false,2567,2
2024-06-13,2567-06-13,4,false,2567,2
2024-06-14,2567-06-14,5,false,2567,2
2024-06-15,2567-06-15,6,false,2567,2
2024-06-16,2567-06-16,7,false,2567,2
2024-06-17,2567-06-17,1,false,2567,2
2024-06-18,2567-06-18,2,false,2567,2
2024-06-19,2567-06-19,3,false,2567,2
2024-06-20,2567-06-20,4,false,2567,2
2024-06-21,2567-06-21,5,false,2567,2
2024-06-22,2567-06-22,6,false,2567,2
2024-06-23,2567-06-23,7,false,2567,2
2024-06-24,2567-06-24,1,false,2567,2
2024-06-25,2567-06-25,2,false,2567,2
2024-06-26,2567-06-26,3,false,2567,2
2024-06-27,2567-06-27,4,false,2567,2
2024-06-28,2567-06-28,5,false,2567,2
2024-06-29,2567-06-29,6,false,2567,2
2024-06-30,2567-06-30,7,false,2567,2
2024-07-01,2567-07-01,1,false,2567,3
2024-07-02,2567-07-02,2,false,2567,3
2024-07-03,2567-07-03,3,false,2567,3
2024-07-04,2567-07-04,4,false,2567,3
2024-07-05,2567-07-05,5,false,2567,3
2024-07-06,2567-07-06,6,false,2567,3
2024-07-07,2567-07-07,7,false,2567,3
2024-07-08,2567-07-08,1,false,2567,3
2024-07-09,2567-07-09,2,false,2567,3
2024-07-10,2567-07-10,3,false,2567,3
2024-07-11,2567-07-11,4,false,2567,3
2024-07-12,2567-07-12,5,false,2567,3
2024-07-13,2567-07-13,6,false,2567,3
2024-07-14,2567-07-14,7,false,2567,3
2024-07-15,2567-07-15,1,false,2567,3
2024-07-16,2567-07-16,2,false,2567,3
2024-07-17,2567-07-17,3,false,2567,3
2024-07-18,2567-07-18,4,false,2567,3
2024-07-19,2567-07-19,5,false,2567,3
2024-07-20,2567-07-20,6,false,2567,3
2024-07-21,2567-07-21,7,false,2567,3
2024-07-22,2567-07-22,1,false,2567,3
2024-07-23,2567-07-23,2,false,2567,3
2024-07-24,2567-07-24,3,false,2567,3
2024-07-25,2567-07-25,4,false,2567,3
2024-07-26,2567-07-26,5,false,2567,3
2024-07-27,2567-07-27,6,false,2567,3
2024-07-28,2567-07-28,7,false,2567,3
2024-07-29,2567-07-29,1,false,2567,3
2024-07-30,2567-07-30,2,false,2567,3
2024-07-31,2567-07-31,3,false,2567,3
2024-08-01,2567-08-01,4,false,2567,3
2024-08-02,2567-08-02,5,false,2567,3
2024-08-03,2567-08-03,6,false,2567,3
2024-08-04,2567-08-04,7,false,2567,3
2024-08-05,2567-08-05,1,false,2567,3
2024-08-06,2567-08-06,2,false,2567,3
2024-08-07,2567-08-07,3,false,2567,3
2024-08-08,2567-08-08,4,false,2567,3
2024-08-09,2567-08-09,5,false,2567,3
2024-08-10,2567-08-10,6,false,2567,3
2024-08-11,2567-08-11,7,false,2567,3
2024-08-12,2567-08-12,1,false,2567,3
2024-08-13,2567-08-13,2,false,2567,3
2024-08-14,2567-08-14,3,false,2567,3
2024-08-15,2567-08-15,4,false,2567,3
2024-08-16,2567-08-16,5,false,2567,3
2024-08-17,2567-08-17,6,false,2567,3
2024-08-18,2567-08-18,7,false,2567,3
2024-08-19,2567-08-19,1,false,2567,3
2024-08-20,2567-08-20,2,false,2567,3
2024-08-21,2567-08-21,3,false,2567,3
2024-08-22,2567-08-22,4,false,2567,3
2024-08-23,2567-08-23,5,false,2567,3
2024-08-24,2567-08-24,6,false,2567,3
2024-08-25,2567-08-25,7,false,2567,3
2024-08-26,2567-08-26,1,false,2567,3
2024-08-27,2567-08-27,2,false,2567,3
2024-08-28,2567-08-28,3,false,2567,3
2024-08-29,2567-08-29,4,false,2567,3
2024-08-30,2567-08-30,5,false,2567,3
2024-08-31,2567-08-31,6,false,2567,3
2024-09-01,2567-09-01,7,false,2567,3
2024-09-02,2567-09-02,1,false,2567,3
2024-09-03,2567-09-03,2,false,2567,3
2024-09-04,2567-09-04,3,false,2567,3
2024-09-05,2567-09-05,4,false,2567,3
2024-09-06,2567-09-06,5,false,2567,3
2024-09-07,2567-09-07,6,false,2567,3
2024-09-08,2567-09-08,7,false,2567,3
2024-09-09,2567-09-09,1,false,2567,3
2024-09-10,2567-09-10,2,false,2567,3
2024-09-11,2567-09-11,3,false,2567,3
2024-09-12,2567-09-12,4,false,2567,3
2024-09-13,2567-09-13,5,false,2567,3
2024-09-14,2567-09-14,6,false,2567,3
2024-09-15,2567-09-15,7,false,2567,3
2024-09-16,2567-09-16,1,false,2567,3
2024-09-17,2567-09-17,2,false,2567,3
2024-09-18,2567-09-18,3,false,2567,3
2024-09-19,2567-09-19,4,false,2567,3
2024-09-20,2567-09-20,5,false,2567,3
2024-09-21,2567-09-21,6,false,2567,3
2024-09-22,2567-09-22,7,false,2567,3
2024-09-23,2567-09-23,1,false,2567,3
2024-09-24,2567-09-24,2,false,2567,3
2024-09-25,2567-09-25,3,false,2567,3
2024-09-26,2567-09-26,4,false,2567,3
2024-09-27,2567-09-27,5,false,2567,3
2024-09-28,2567-09-28,6,false,2567,3
2024-09-29,2567-09-29,7,false,2567,3
2024-09-30,2567-09-30,1,false,2567,3
2024-10-01,2567-10-01,2,false,2567,4
2024-10-02,2567-10-02,3,false,2567,4
2024-10-03,2567-10-03,4,false,2567,4
2024-10-04,2567-10-04,5,false,2567,4
2024-10-05,2567-10-05,6,false,2567,4
2024-10-06,2567-10-06,7,false,2567,4
2024-10-07,2567-10-07,1,false,2567,4
2024-10-08,2567-10-08,2,false,2567,4
2024-10-09,2567-10-09,3,false,2567,4
2024-10-10,2567-10-10,4,false,2567,4
2024-10-11,2567-10-11,5,false,2567,4
2024-10-12,2567-10-12,6,false,2567,4
2024-10-13,2567-10-13,7,false,2567,4
2024-10-14,2567-10-14,1,false,2567,4
2024-10-15,2567-10-15,2,false,2567,4
2024-10-16,2567-10-16,3,false,2567,4
2024-10-17,2567-10-17,4,false,2567,4
2024-10-18,2567-10-18,5,false,2567,4
2024-10-19,2567-10-19,6,false,2567,4
2024-10-20,2567-10-20,7,false,2567,4
2024-10-21,2567-10-21,1,false,2567,4
2024-10-22,2567-10-22,2,false,2567,4
2024-10-23,2567-10-23,3,false,2567,4
2024-10-24,2567-10-24,4,false,2567,4
2024-10-25,2567-10-25,5,false,2567,4
2024-10-26,2567-10-26,6,false,2567,4
2024-10-27,2567-10-27,7,false,2567,4
2024-10-28,2567-10-28,1,false,2567,4
2024-10-29,2567-10-29,2,false,2567,4
2024-10-30,2567-10-30,3,false,2567,4
2024-10-31,2567-10-31,4,false,2567,4
2024-11-01,2567-11-01,5,false,2567,4
2024-11-02,2567-11-02,6,false,2567,4
2024-11-03,2567-11-03,7,false,2567,4
2024-11-04,2567-11-04,1,false,2567,4
2024-11-05,2567-11-05,2,false,2567,4
2024-11-06,2567-11-06,3,false,2567,4
2024-11-07,2567-11-07,4,false,2567,4
2024-11-08,2567-11-08,5,false,2567,4
2024-11-09,2567-11-09,6,false,2567,4
2024-11-10,2567-11-10,7,false,2567,4
2024-11-11,2567-11-11,1,false,2567,4
2024-11-12,2567-11-12,2,false,2567,4
2024-11-13,2567-11-13,3,false,2567,4
2024-11-14,2567-11-14,4,false,2567,4
2024-11-15,2567-11-15,5,false,2567,4
2024-11-16,2567-11-16,6,false,2567,4
2024-11-17,2567-11-17,7,false,2567,4
2024-11-18,2567-11-18,1,false,2567,4
2024-11-19,2567-11-19,2,false,2567,4
2024-11-20,2567-11-20,3,false,2567,4
2024-11-21,2567-11-21,4,false,2567,4
2024-11-22,2567-11-22,5,false,2567,4
2024-11-23,2567-11-23,6,false,2567,4
2024-11-24,2567-11-24,7,false,2567,4
2024-11-25,2567-11-25,1,false,2567,4
2024-11-26,2567-11-26,2,false,2567,4
2024-11-27,2567-11-27,3,false,2567,4
2024-11-28,2567-11-28,4,false,2567,4
2024-11-29,2567-11-29,5,false,2567,4
2024-11-30,2567-11-30,6,false,2567,4
2024-12-01,2567-12-01,7,false,2567,4
2024-12-02,2567-12-02,1,false,2567,4
2024-12-03,2567-12-03,2,false,2567,4
2024-12-04,2567-12-04,3,false,2567,4
2024-12-05,2567-12-05,4,false,2567,4
2024-12-06,2567-12-06,5,false,2567,4
2024-12-07,2567-12-07,6,false,2567,4
2024-12-08,2567-12-08,7,false,2567,4
2024-12-09,2567-12-09,1,false,2567,4
2024-12-10,2567-12-10,2,false,2567,4
2024-12-11,2567-12-11,3,false,2567,4
2024-12-12,2567-12-12,4,false,2567,4
2024-12-13,2567-12-13,5,false,2567,4
