sku_id,brand_family,dept_code,category,subcategory,msrp_thb,msrp_tier,is_third_party,vendor_id,launch_date,end_of_life_date,warranty_months,care_plus_eligible
SKU-STD-001,NovaTech,,smartphone,midrange,12900.00,10K-30K,true,V-001,2023-01-01,,24,false
NT-LT-001,NovaTech,,laptop,flagship,42900.00,>=30K,true,V-002,2023-01-01,,36,true
SF-Galaxy-Pro-2568,SaiFah,SF,smartphone,flagship,38900.00,>=30K,false,,2025-07-15,,24,true
AW-MN-001,ArcWave,,monitor,flagship,16900.00,10K-30K,false,,2024-01-01,,24,true
WK-SW-004,WatchKit,,smartwatch,midrange,5900.00,<10K,false,,2024-01-01,,12,false
DN-LT-010,Dawn,,laptop,flagship,84900.00,>=30K,false,,2024-01-01,,24,true
SKU-MASS-007,FahMai,,smartwatch,flagship,12900.00,10K-30K,false,,2023-01-01,,24,false
SKU-MASS-008,FahMai,,smartphone,midrange,8500.00,<10K,false,,2023-01-01,,24,false
SKU-MASS-009,NovaTech,,smartphone,flagship,29900.00,10K-30K,true,V-001,2023-01-01,,24,false
SKU-MASS-010,NovaTech,,laptop,midrange,24900.00,10K-30K,true,V-002,2023-01-01,,24,false
SKU-MASS-011,FahMai,,laptop,flagship,55900.00,>=30K,false,,2023-01-01,,24,false
SKU-MASS-012,NovaTech,,monitor,midrange,6900.00,<10K,true,V-001,2023-01-01,,24,false
SKU-MASS-013,FahMai,,monitor,flagship,18900.00,10K-30K,false,,2023-01-01,,24,false
SKU-MASS-014,FahMai,,smartwatch,midrange,4900.00,<10K,false,,2023-01-01,,24,false
SKU-MASS-015,NovaTech,,smartwatch,flagship,12900.00,10K-30K,true,V-001,2023-01-01,,24,false
SKU-MASS-016,FahMai,,smartphone,midrange,8500.00,<10K,false,,2023-01-01,,24,false
SKU-MASS-017,FahMai,,smartphone,flagship,29900.00,10K-30K,false,,2023-01-01,,24,false
SKU-MASS-018,NovaTech,,laptop,midrange,24900.00,10K-30K,true,V-001,2023-01-01,,24,false
SKU-MASS-019,FahMai,,laptop,flagship,55900.00,>=30K,false,,2023-01-01,,24,false
SKU-MASS-020,NovaTech,,monitor,midrange,6900.00,<10K,true,V-002,2023-01-01,,24,false
SKU-MASS-021,NovaTech,,monitor,flagship,18900.00,10K-30K,true,V-001,2023-01-01,,24,false
SKU-MASS-022,FahMai,,smartwatch,midrange,4900.00,<10K,false,,2023-01-01,,24,false
