bank_txn_id,business_event_date,posting_date,effective_date,as_of_date,account_id,transaction_type,counterparty,related_entity_id,related_entity_table,amount_thb,balance_after_thb,description
BT-202401-160695623562,2024-01-01,2024-01-01,,2026-01-15,KBANK-OPER,withdrawal,V-001,VP-202401-8584003,FACT_VENDOR_PAYMENT,-85000.00,9810700.00,Vendor payment V-001 VP-202401-8584003
BT-202401-245384114094,2024-01-01,2024-01-01,,2026-01-15,KBANK-OPER,withdrawal,V-002,VP-202401-14427228,FACT_VENDOR_PAYMENT,-42000.00,9760200.00,Vendor payment V-002 VP-202401-14427228
BT-202401-114016678594,2024-01-01,2024-01-01,,2026-01-15,KBANK-OPER,withdrawal,V-006,VP-202401-13226606,FACT_VENDOR_PAYMENT,-18500.00,9895700.00,Vendor payment V-006 VP-202401-13226606
BT-202401-788599466404,2024-01-01,2024-01-01,,2026-01-15,KBANK-OPER,withdrawal,V-014,VP-202401-11818583,FACT_VENDOR_PAYMENT,-16800.00,9697800.00,Vendor payment V-014 VP-202401-11818583
BT-202401-595128288829,2024-01-01,2024-01-01,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-003586,RFD-202401-01003586,FACT_REFUND_PAID,-16900.00,9714600.00,Refund payout RFD-202401-01003586
BT-202401-411292455600,2024-01-01,2024-01-01,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-006864,RFD-202401-01006864,FACT_REFUND_PAID,-4900.00,9755300.00,Refund payout RFD-202401-01006864
BT-202401-243693540285,2024-01-01,2024-01-01,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-009523,RFD-202401-01009523,FACT_REFUND_PAID,-8500.00,9802200.00,Refund payout RFD-202401-01009523
BT-202401-102793555666,2024-01-01,2024-01-01,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-011803,RFD-202401-01011803,FACT_REFUND_PAID,-29900.00,9970100.00,Refund payout RFD-202401-01011803
BT-202401-570613792129,2024-01-01,2024-01-01,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-016943,RFD-202401-01016943,FACT_REFUND_PAID,-6900.00,9731500.00,Refund payout RFD-202401-01016943
BT-202401-469965313331,2024-01-01,2024-01-01,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-017284,RFD-202401-01017284,FACT_REFUND_PAID,-16900.00,9738400.00,Refund payout RFD-202401-01017284
BT-202401-1041363982681,2024-01-01,2024-01-01,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-017801,RFD-202401-01017801,FACT_REFUND_PAID,-55900.00,9914200.00,Refund payout RFD-202401-01017801
BT-202401-832693262297,2024-01-01,2024-01-01,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-024617,RFD-202401-01024617,FACT_REFUND_PAID,-8500.00,9689000.00,Refund payout RFD-202401-01024617
BT-202401-795771801354,2024-01-01,2024-01-01,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-009861,858547588439,FACT_LOYALTY_LEDGER,-300.00,9697500.00,Loyalty redeem ledger #858547588439
BT-202401-575671942752,2024-01-02,2024-01-02,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-000078,RFD-202401-02000078,FACT_REFUND_PAID,-18900.00,9605100.00,Refund payout RFD-202401-02000078
BT-202401-740008497820,2024-01-02,2024-01-02,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-003096,RFD-202401-02003096,FACT_REFUND_PAID,-4900.00,9553300.00,Refund payout RFD-202401-02003096
BT-202401-24282467857,2024-01-02,2024-01-02,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-004139,RFD-202401-02004139,FACT_REFUND_PAID,-4900.00,9658300.00,Refund payout RFD-202401-02004139
BT-202401-62807676659,2024-01-02,2024-01-02,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-004201,RFD-202401-02004201,FACT_REFUND_PAID,-29900.00,9566700.00,Refund payout RFD-202401-02004201
BT-202401-859359070045,2024-01-02,2024-01-02,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-004221,RFD-202401-02004221,FACT_REFUND_PAID,-8500.00,9539900.00,Refund payout RFD-202401-02004221
BT-202401-301492198591,2024-01-02,2024-01-02,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-008357,RFD-202401-02008357,FACT_REFUND_PAID,-6900.00,9651400.00,Refund payout RFD-202401-02008357
BT-202401-320969600598,2024-01-02,2024-01-02,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-015209,RFD-202401-02015209,FACT_REFUND_PAID,-8500.00,9642900.00,Refund payout RFD-202401-02015209
BT-202401-195126348152,2024-01-02,2024-01-02,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-015662,RFD-202401-02015662,FACT_REFUND_PAID,-18900.00,9663200.00,Refund payout RFD-202401-02015662
BT-202401-684152863722,2024-01-02,2024-01-02,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-017894,RFD-202401-02017894,FACT_REFUND_PAID,-8500.00,9558200.00,Refund payout RFD-202401-02017894
BT-202401-62539458348,2024-01-02,2024-01-02,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-018253,RFD-202401-02018253,FACT_REFUND_PAID,-8500.00,9596600.00,Refund payout RFD-202401-02018253
BT-202401-45010163456,2024-01-02,2024-01-02,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-021022,RFD-202401-02021022,FACT_REFUND_PAID,-18900.00,9624000.00,Refund payout RFD-202401-02021022
BT-202401-1099128077910,2024-01-02,2024-01-02,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-027494,RFD-202401-02027494,FACT_REFUND_PAID,-6900.00,9682100.00,Refund payout RFD-202401-02027494
BT-202401-839264936306,2024-01-02,2024-01-02,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-028949,RFD-202401-02028949,FACT_REFUND_PAID,-4900.00,9548400.00,Refund payout RFD-202401-02028949
BT-202401-532198268744,2024-01-03,2024-01-03,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-000765,RFD-202401-03000765,FACT_REFUND_PAID,-29900.00,9400600.00,Refund payout RFD-202401-03000765
BT-202401-315864699003,2024-01-03,2024-01-03,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-004627,RFD-202401-03004627,FACT_REFUND_PAID,-29900.00,9461200.00,Refund payout RFD-202401-03004627
