cs_interaction_id,business_event_date,posting_date,effective_date,as_of_date,customer_id,employee_id,branch_code,channel,interaction_type,resolution_type,related_refund_id,related_warranty_claim_id,chat_session_id
CSI-202401-3660151,2024-01-01,2024-01-01,,2026-01-15,CUST-L3-003586,EMP-L3-00010,BKK-R9,in_person,refund_request,resolved,RFD-202401-01003586,,
CSI-202401-10201929,2024-01-01,2024-01-01,,2026-01-15,CUST-L3-006388,EMP-L3-00019,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-01-18e2b7
CSI-202401-13981444,2024-01-01,2024-01-01,,2026-01-15,CUST-L3-006599,EMP-L3-00025,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-01-6a4b13
CSI-202401-6059576,2024-01-01,2024-01-01,,2026-01-15,CUST-L3-006763,EMP-L3-00031,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-01-78d15f
CSI-202401-12427146,2024-01-01,2024-01-01,,2026-01-15,CUST-L3-006864,EMP-L3-00037,BKK-R9,in_person,refund_request,resolved,RFD-202401-01006864,,
CSI-202401-3766004,2024-01-01,2024-01-01,,2026-01-15,CUST-L3-009523,EMP-L3-00043,BKK-R9,in_person,refund_request,resolved,RFD-202401-01009523,,
CSI-202401-12691949,2024-01-01,2024-01-01,,2026-01-15,CUST-L3-009861,EMP-L3-00049,BKK-R9,in_person,warranty_claim,open,,WC-202401-01009861,
CSI-202401-14114771,2024-01-01,2024-01-01,,2026-01-15,CUST-L3-011803,EMP-L3-00055,BKK-R9,in_person,refund_request,resolved,RFD-202401-01011803,,
CSI-202401-15090823,2024-01-01,2024-01-01,,2026-01-15,CUST-L3-016943,EMP-L3-00061,BKK-R9,in_person,refund_request,resolved,RFD-202401-01016943,,
CSI-202401-14471761,2024-01-01,2024-01-01,,2026-01-15,CUST-L3-017284,EMP-L3-00067,BKK-R9,in_person,refund_request,resolved,RFD-202401-01017284,,
CSI-202401-6376415,2024-01-01,2024-01-01,,2026-01-15,CUST-L3-017801,EMP-L3-00073,BKK-R9,in_person,refund_request,resolved,RFD-202401-01017801,,
CSI-202401-16597730,2024-01-01,2024-01-01,,2026-01-15,CUST-L3-024617,EMP-L3-00079,BKK-R9,in_person,refund_request,resolved,RFD-202401-01024617,,
CSI-202401-15172249,2024-01-01,2024-01-01,,2026-01-15,CUST-L3-028043,EMP-L3-00085,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-01-bf7ef4
