snapshot_id,business_event_date,posting_date,effective_date,as_of_date,month_end_date,sku_id,branch_code,closing_units
476601070258,2024-01-31,2024-01-31,,2026-01-15,2024-01-31,SKU-STD-001,BKK-R9,205
197641851802,2024-01-31,2024-01-31,,2026-01-15,2024-01-31,SKU-STD-001,BKK-SIAM,416
957191667590,2024-01-31,2024-01-31,,2026-01-15,2024-01-31,SKU-STD-001,BKK-PKT,242
970146424795,2024-01-31,2024-01-31,,2026-01-15,2024-01-31,SKU-STD-001,BKK-CTW,310
745155190140,2024-01-31,2024-01-31,,2026-01-15,2024-01-31,SKU-STD-001,CNX-MAYA,262
155157957590,2024-01-31,2024-01-31,,2026-01-15,2024-01-31,SKU-STD-001,HKT-FEST,195
357992727257,2024-01-31,2024-01-31,,2026-01-15,2024-01-31,SKU-STD-001,KKC-CTRL,164
330211385086,2024-01-31,2024-01-31,,2026-01-15,2024-01-31,SKU-STD-001,UDN-CTRL,120
762082808180,2024-01-31,2024-01-31,,2026-01-15,2024-01-31,SKU-STD-001,BKK-EMSP,251
373018407915,2024-01-31,2024-01-31,,2026-01-15,2024-01-31,SKU-STD-001,PTY-CTRL,253
41739811049,2024-01-31,2024-01-31,,2026-01-15,2024-01-31,NT-LT-001,BKK-R9,91
226071097717,2024-01-31,2024-01-31,,2026-01-15,2024-01-31,NT-LT-001,BKK-SIAM,84
30667597867,2024-01-31,2024-01-31,,2026-01-15,2024-01-31,NT-LT-001,BKK-PKT,90
390433790130,2024-01-31,2024-01-31,,2026-01-15,2024-01-31,NT-LT-001,BKK-CTW,91
499747960807,2024-01-31,2024-01-31,,2026-01-15,2024-01-31,NT-LT-001,CNX-MAYA,87
80846557947,2024-01-31,2024-01-31,,2026-01-15,2024-01-31,NT-LT-001,HKT-FEST,92
830730598406,2024-01-31,2024-01-31,,2026-01-15,2024-01-31,NT-LT-001,KKC-CTRL,98
323270198643,2024-01-31,2024-01-31,,2026-01-15,2024-01-31,NT-LT-001,UDN-CTRL,91
423320186338,2024-01-31,2024-01-31,,2026-01-15,2024-01-31,NT-LT-001,BKK-EMSP,86
999143961826,2024-01-31,2024-01-31,,2026-01-15,2024-01-31,NT-LT-001,PTY-CTRL,85
126878083952,2024-01-31,2024-01-31,,2026-01-15,2024-01-31,AW-MN-001,BKK-R9,94
913502157945,2024-01-31,2024-01-31,,2026-01-15,2024-01-31,AW-MN-001,BKK-SIAM,84
720969770453,2024-01-31,2024-01-31,,2026-01-15,2024-01-31,AW-MN-001,BKK-PKT,84
861505024235,2024-01-31,2024-01-31,,2026-01-15,2024-01-31,AW-MN-001,BKK-CTW,85
535314133185,2024-01-31,2024-01-31,,2026-01-15,2024-01-31,AW-MN-001,CNX-MAYA,90
335498180094,2024-01-31,2024-01-31,,2026-01-15,2024-01-31,AW-MN-001,HKT-FEST,96
928386186629,2024-01-31,2024-01-31,,2026-01-15,2024-01-31,AW-MN-001,KKC-CTRL,93
201568675287,2024-01-31,2024-01-31,,2026-01-15,2024-01-31,AW-MN-001,UDN-CTRL,92
904326804872,2024-01-31,2024-01-31,,2026-01-15,2024-01-31,AW-MN-001,BKK-EMSP,92
384616539119,2024-01-31,2024-01-31,,2026-01-15,2024-01-31,AW-MN-001,PTY-CTRL,88
570160950163,2024-01-31,2024-01-31,,2026-01-15,2024-01-31,WK-SW-004,BKK-R9,222
911174124674,2024-01-31,2024-01-31,,2026-01-15,2024-01-31,WK-SW-004,BKK-SIAM,446
691281643783,2024-01-31,2024-01-31,,2026-01-15,2024-01-31,WK-SW-004,BKK-PKT,266
398803173083,2024-01-31,2024-01-31,,2026-01-15,2024-01-31,WK-SW-004,BKK-CTW,335
188202998736,2024-01-31,2024-01-31,,2026-01-15,2024-01-31,WK-SW-004,CNX-MAYA,228
