redemption_id,business_event_date,posting_date,as_of_date,txn_id,customer_id,campaign_id,discount_applied_thb,channel
1054264194501,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11000142,CUST-L3-000142,MEGA-1111-2567,6708.00,offline
214237745109,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11000842,CUST-L3-000842,MEGA-1111-2567,6708.00,online
178902817271,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11001718,CUST-L3-001718,MEGA-1111-2567,2988.00,offline
276901064448,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11001743,CUST-L3-001743,MEGA-1111-2567,12660.00,offline
717680921249,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11002003,CUST-L3-002003,MEGA-1111-2567,3588.00,offline
798111736509,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11002444,CUST-L3-002444,MEGA-1111-2567,7296.00,offline
1012307527572,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11002860,CUST-L3-002860,MEGA-1111-2567,588.00,offline
758510123888,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11003186,CUST-L3-003186,MEGA-1111-2567,3576.00,online
1019855424390,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11003368,CUST-L3-003368,MEGA-1111-2567,6708.00,offline
359010628522,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11003378,CUST-L3-003378,MEGA-1111-2567,6708.00,offline
882790533381,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11003439,CUST-L3-003439,MEGA-1111-2567,10188.00,offline
106803208608,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11003471,CUST-L3-003471,MEGA-1111-2567,5124.00,offline
239643808223,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11003624,CUST-L3-003624,MEGA-1111-2567,2988.00,offline
106225712794,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11003640,CUST-L3-003640,MEGA-1111-2567,1548.00,offline
287176069924,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11003680,CUST-L3-003680,MEGA-1111-2567,1548.00,offline
301219881120,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11004248,CUST-L3-004248,MEGA-1111-2567,2988.00,offline
84413960135,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11005226,CUST-L3-005226,MEGA-1111-2567,588.00,offline
1081248777845,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11005781,CUST-L3-005781,MEGA-1111-2567,3588.00,offline
559065311115,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11005872,CUST-L3-005872,MEGA-1111-2567,828.00,offline
721162905415,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11005926,CUST-L3-005926,MEGA-1111-2567,2988.00,offline
209698164435,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11005975,CUST-L3-005975,MEGA-1111-2567,15288.00,offline
927505419130,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11006556,CUST-L3-006556,MEGA-1111-2567,828.00,online
625456604018,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11006778,CUST-L3-006778,MEGA-1111-2567,588.00,offline
440043256571,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11006796,CUST-L3-006796,MEGA-1111-2567,14412.00,offline
1035989030447,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11006896,CUST-L3-006896,MEGA-1111-2567,6708.00,offline
352772691682,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11007027,CUST-L3-007027,MEGA-1111-2567,3588.00,offline
704982065837,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11007321,CUST-L3-007321,MEGA-1111-2567,1548.00,online
161524638079,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11007382,CUST-L3-007382,MEGA-1111-2567,2988.00,offline
848214698494,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11007825,CUST-L3-007825,MEGA-1111-2567,3588.00,offline
986189542908,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11007836,CUST-L3-007836,MEGA-1111-2567,7536.00,offline
268061105924,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11007957,CUST-L3-007957,MEGA-1111-2567,3684.00,online
177165870059,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11008242,CUST-L3-008242,MEGA-1111-2567,6708.00,online
563693453882,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11008302,CUST-L3-008302,MEGA-1111-2567,828.00,offline
275595702140,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11008317,CUST-L3-008317,MEGA-1111-2567,1548.00,offline
720934257111,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11008383,CUST-L3-008383,MEGA-1111-2567,1548.00,offline
826264999117,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11008577,CUST-L3-008577,MEGA-1111-2567,1608.00,offline
976024173060,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11008585,CUST-L3-008585,MEGA-1111-2567,828.00,offline
338100311980,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11009144,CUST-L3-009144,MEGA-1111-2567,2988.00,offline
693773366352,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11009814,CUST-L3-009814,MEGA-1111-2567,5148.00,offline
173610321659,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11010425,CUST-L3-010425,MEGA-1111-2567,1020.00,offline
626730449403,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11010814,CUST-L3-010814,MEGA-1111-2567,828.00,offline
818585780384,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11011075,CUST-L3-011075,MEGA-1111-2567,1548.00,offline
139312266263,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11011134,CUST-L3-011134,MEGA-1111-2567,2268.00,offline
531112208878,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11011183,CUST-L3-011183,MEGA-1111-2567,3588.00,offline
706236625428,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11011344,CUST-L3-011344,MEGA-1111-2567,3588.00,offline
27371943325,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11011984,CUST-L3-011984,MEGA-1111-2567,2988.00,offline
123262700368,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11012180,CUST-L3-012180,MEGA-1111-2567,14304.00,offline
324441174812,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11012623,CUST-L3-012623,MEGA-1111-2567,2268.00,online
385635932433,2024-11-11,2024-11-11,2026-01-15,TXN-202411-11012685,CUST-L3-012685,MEGA-1111-2567,8256.00,offline
