refund_id,business_event_date,posting_date,effective_date,as_of_date,return_id,cs_interaction_id,customer_id,refund_amount_thb,request_date,approver_employee_id,cosig_employee_id,bank_txn_id
RFD-202401-01003586,2024-01-01,2024-01-01,,2026-01-15,RET-202401-01003586,,CUST-L3-003586,16900.00,2024-01-01,EMP-L3-00005,,BT-202401-595128288829
RFD-202401-01006864,2024-01-01,2024-01-01,,2026-01-15,RET-202401-01006864,,CUST-L3-006864,4900.00,2024-01-01,EMP-L3-00005,,BT-202401-411292455600
RFD-202401-01009523,2024-01-01,2024-01-01,,2026-01-15,RET-202401-01009523,,CUST-L3-009523,8500.00,2024-01-01,EMP-L3-00005,,BT-202401-243693540285
RFD-202401-01011803,2024-01-01,2024-01-01,,2026-01-15,RET-202401-01011803,,CUST-L3-011803,29900.00,2024-01-01,EMP-L3-00005,,BT-202401-102793555666
RFD-202401-01016943,2024-01-01,2024-01-01,,2026-01-15,RET-202401-01016943,,CUST-L3-016943,6900.00,2024-01-01,EMP-L3-00005,,BT-202401-570613792129
RFD-202401-01017284,2024-01-01,2024-01-01,,2026-01-15,RET-202401-01017284,,CUST-L3-017284,16900.00,2024-01-01,EMP-L3-00005,,BT-202401-469965313331
RFD-202401-01017801,2024-01-01,2024-01-01,,2026-01-15,RET-202401-01017801,,CUST-L3-017801,55900.00,2024-01-01,EMP-L3-00005,,BT-202401-1041363982681
RFD-202401-01024617,2024-01-01,2024-01-01,,2026-01-15,RET-202401-01024617,,CUST-L3-024617,8500.00,2024-01-01,EMP-L3-00005,,BT-202401-832693262297
RFD-202401-02000078,2024-01-02,2024-01-02,,2026-01-15,RET-202401-02000078,,CUST-L3-000078,18900.00,2024-01-02,EMP-L3-00005,,BT-202401-575671942752
RFD-202401-02003096,2024-01-02,2024-01-02,,2026-01-15,RET-202401-02003096,,CUST-L3-003096,4900.00,2024-01-02,EMP-L3-00005,,BT-202401-740008497820
RFD-202401-02004139,2024-01-02,2024-01-02,,2026-01-15,RET-202401-02004139,,CUST-L3-004139,4900.00,2024-01-02,EMP-L3-00005,,BT-202401-24282467857
RFD-202401-02004201,2024-01-02,2024-01-02,,2026-01-15,RET-202401-02004201,,CUST-L3-004201,29900.00,2024-01-02,EMP-L3-00005,,BT-202401-62807676659
