return_id,business_event_date,posting_date,effective_date,as_of_date,original_txn_id,line_item_id,sku_id,branch_code,customer_id,return_reason,approved_by_employee_id,days_since_purchase,return_amount_thb
RET-202401-01003586,2024-01-01,2024-01-01,,2026-01-15,TXN-202401-01003586,1095040358832,AW-MN-001,CNX-MAYA,CUST-L3-003586,customer_change_of_mind,EMP-L3-00005,0,16900.00
RET-202401-01006864,2024-01-01,2024-01-01,,2026-01-15,TXN-202401-01006864,765330256182,SKU-MASS-062,BKK-R9,CUST-L3-006864,customer_change_of_mind,EMP-L3-00005,0,4900.00
RET-202401-01009523,2024-01-01,2024-01-01,,2026-01-15,TXN-202401-01009523,948192875914,SKU-MASS-024,BKK-CTW,CUST-L3-009523,customer_change_of_mind,EMP-L3-00005,0,8500.00
RET-202401-01011803,2024-01-01,2024-01-01,,2026-01-15,TXN-202401-01011803,221155136135,SKU-MASS-049,HKT-FEST,CUST-L3-011803,customer_change_of_mind,EMP-L3-00005,0,29900.00
RET-202401-01016943,2024-01-01,2024-01-01,,2026-01-15,TXN-202401-01016943,31405308517,SKU-MASS-084,BKK-SIAM,CUST-L3-016943,customer_change_of_mind,EMP-L3-00005,0,6900.00
RET-202401-01017284,2024-01-01,2024-01-01,,2026-01-15,TXN-202401-01017284,923224123202,AW-MN-001,PTY-CTRL,CUST-L3-017284,customer_change_of_mind,EMP-L3-00005,0,16900.00
RET-202401-01017801,2024-01-01,2024-01-01,,2026-01-15,TXN-202401-01017801,896334613249,SKU-MASS-107,REMOTE,CUST-L3-017801,customer_change_of_mind,EMP-L3-00005,0,55900.00
RET-202401-01024617,2024-01-01,2024-01-01,,2026-01-15,TXN-202401-01024617,891223879856,SKU-MASS-080,BKK-SIAM,CUST-L3-024617,customer_change_of_mind,EMP-L3-00005,0,8500.00
RET-202401-02000078,2024-01-02,2024-01-02,,2026-01-15,TXN-202401-02000078,339479292289,SKU-MASS-077,BKK-CTW,CUST-L3-000078,customer_change_of_mind,EMP-L3-00005,0,18900.00
RET-202401-02003096,2024-01-02,2024-01-02,,2026-01-15,TXN-202401-02003096,555251941573,SKU-MASS-062,REMOTE,CUST-L3-003096,customer_change_of_mind,EMP-L3-00005,0,4900.00
RET-202401-02004139,2024-01-02,2024-01-02,,2026-01-15,TXN-202401-02004139,472782092410,SKU-MASS-054,CNX-MAYA,CUST-L3-004139,customer_change_of_mind,EMP-L3-00005,0,4900.00
RET-202401-02004201,2024-01-02,2024-01-02,,2026-01-15,TXN-202401-02004201,651058507136,SKU-MASS-081,BKK-SIAM,CUST-L3-004201,customer_change_of_mind,EMP-L3-00005,0,29900.00
RET-202401-02004221,2024-01-02,2024-01-02,,2026-01-15,TXN-202401-02004221,900792393046,SKU-MASS-008,BKK-CTW,CUST-L3-004221,customer_change_of_mind,EMP-L3-00005,0,8500.00
RET-202401-02008357,2024-01-02,2024-01-02,,2026-01-15,TXN-202401-02008357,747127558754,SKU-MASS-084,KKC-CTRL,CUST-L3-008357,customer_change_of_mind,EMP-L3-00005,0,6900.00
RET-202401-02015209,2024-01-02,2024-01-02,,2026-01-15,TXN-202401-02015209,774297081425,SKU-MASS-032,HKT-FEST,CUST-L3-015209,customer_change_of_mind,EMP-L3-00005,0,8500.00
RET-202401-02015662,2024-01-02,2024-01-02,,2026-01-15,TXN-202401-02015662,635716784257,SKU-MASS-069,CNX-MAYA,CUST-L3-015662,customer_change_of_mind,EMP-L3-00005,0,18900.00
RET-202401-02017894,2024-01-02,2024-01-02,,2026-01-15,TXN-202401-02017894,270168282281,SKU-MASS-008,BKK-EMSP,CUST-L3-017894,customer_change_of_mind,EMP-L3-00005,0,8500.00
RET-202401-02018253,2024-01-02,2024-01-02,,2026-01-15,TXN-202401-02018253,750708189568,SKU-MASS-064,KKC-CTRL,CUST-L3-018253,customer_change_of_mind,EMP-L3-00005,0,8500.00
RET-202401-02021022,2024-01-02,2024-01-02,,2026-01-15,TXN-202401-02021022,934425668770,SKU-MASS-021,BKK-SIAM,CUST-L3-021022,customer_change_of_mind,EMP-L3-00005,0,18900.00
RET-202401-02027494,2024-01-02,2024-01-02,,2026-01-15,TXN-202401-02027494,236749495859,SKU-MASS-028,CNX-MAYA,CUST-L3-027494,customer_change_of_mind,EMP-L3-00005,0,6900.00
RET-202401-02028949,2024-01-02,2024-01-02,,2026-01-15,TXN-202401-02028949,23575641262,SKU-MASS-030,BKK-SIAM,CUST-L3-028949,customer_change_of_mind,EMP-L3-00005,0,4900.00
RET-202401-03000765,2024-01-03,2024-01-03,,2026-01-15,TXN-202401-03000765,849066843206,SKU-MASS-009,BKK-SIAM,CUST-L3-000765,customer_change_of_mind,EMP-L3-00005,0,29900.00
RET-202401-03004627,2024-01-03,2024-01-03,,2026-01-15,TXN-202401-03004627,287247221056,SKU-MASS-049,HKT-FEST,CUST-L3-004627,customer_change_of_mind,EMP-L3-00005,0,29900.00
RET-202401-03004981,2024-01-03,2024-01-03,,2026-01-15,TXN-202401-03004981,64399484826,SKU-MASS-045,PTY-CTRL,CUST-L3-004981,customer_change_of_mind,EMP-L3-00005,0,18900.00
