txn_id,business_event_date,posting_date,effective_date,as_of_date,branch_code,customer_id,employee_id,channel,basket_total_thb,discount_total_thb,net_total_thb,shipping_charge_thb,shipping_method,promo_campaign_id,payment_method,payment_status,payment_due_date,payment_received_date,settlement_bank_txn_id,web_log_line_id,schema_version,is_b2b,retry_idempotency_marker
TXN-202401-01000002,2024-01-01,2024-01-01,,2026-01-15,BKK-PKT,,,offline,68800.00,0.00,68800.00,0.00,standard,,mobile_wallet,paid,,,,,1,false,
TXN-202401-01000422,2024-01-01,2024-01-01,,2026-01-15,HKT-FEST,,,offline,24900.00,0.00,24900.00,0.00,standard,,mobile_wallet,paid,,,,,1,false,
TXN-202401-01000462,2024-01-01,2024-01-01,,2026-01-15,BKK-EMSP,,,offline,8500.00,0.00,8500.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01000479,2024-01-01,2024-01-01,,2026-01-15,BKK-EMSP,,,offline,18900.00,0.00,18900.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01000697,2024-01-01,2024-01-01,,2026-01-15,BKK-SIAM,,,offline,55900.00,0.00,55900.00,0.00,standard,,credit_card,paid,,,,,1,false,
TXN-202401-01001049,2024-01-01,2024-01-01,,2026-01-15,PTY-CTRL,,,offline,23800.00,0.00,23800.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01001053,2024-01-01,2024-01-01,,2026-01-15,BKK-SIAM,,,offline,38400.00,0.00,38400.00,0.00,standard,,debit_card,paid,,,,,1,false,
TXN-202401-01001384,2024-01-01,2024-01-01,,2026-01-15,HKT-FEST,,,offline,6900.00,0.00,6900.00,0.00,standard,,credit_card,paid,,,,,1,false,
TXN-202401-01001646,2024-01-01,2024-01-01,,2026-01-15,PTY-CTRL,,,offline,36800.00,0.00,36800.00,0.00,standard,,debit_card,paid,,,,,1,false,
TXN-202401-01001700,2024-01-01,2024-01-01,,2026-01-15,BKK-EMSP,CUST-L3-B2B-001700,,offline,35600.00,0.00,35600.00,0.00,standard,,bank_transfer,paid,2024-01-31,2024-01-31,BT-202401-907760800316,,1,true,
TXN-202401-01001790,2024-01-01,2024-01-01,,2026-01-15,BKK-SIAM,,,offline,12900.00,0.00,12900.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01001827,2024-01-01,2024-01-01,,2026-01-15,BKK-EMSP,,,offline,98600.00,0.00,98600.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01001946,2024-01-01,2024-01-01,,2026-01-15,BKK-R9,,,offline,55900.00,0.00,55900.00,0.00,standard,,debit_card,paid,,,,,1,false,
TXN-202401-01002208,2024-01-01,2024-01-01,,2026-01-15,CNX-MAYA,,,offline,35800.00,0.00,35800.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01002542,2024-01-01,2024-01-01,,2026-01-15,PTY-CTRL,,,offline,68800.00,0.00,68800.00,0.00,standard,,mobile_wallet,paid,,,,,1,false,
TXN-202401-01002609,2024-01-01,2024-01-01,,2026-01-15,BKK-PKT,,,offline,29900.00,0.00,29900.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01002613,2024-01-01,2024-01-01,,2026-01-15,BKK-EMSP,,,offline,48800.00,0.00,48800.00,0.00,standard,,credit_card,paid,,,,,1,false,
TXN-202401-01002901,2024-01-01,2024-01-01,,2026-01-15,REMOTE,,,online,24900.00,0.00,24900.00,0.00,express,,credit_card,paid,,,,web_20240101.jsonl:line6,1,false,
TXN-202401-01002907,2024-01-01,2024-01-01,,2026-01-15,BKK-CTW,,,offline,8500.00,0.00,8500.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01003303,2024-01-01,2024-01-01,,2026-01-15,BKK-EMSP,,,offline,12900.00,0.00,12900.00,0.00,standard,,debit_card,paid,,,,,1,false,
TXN-202401-01003357,2024-01-01,2024-01-01,,2026-01-15,BKK-CTW,,,offline,24900.00,0.00,24900.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01003405,2024-01-01,2024-01-01,,2026-01-15,BKK-CTW,,,offline,43800.00,0.00,43800.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01003586,2024-01-01,2024-01-01,,2026-01-15,CNX-MAYA,,,offline,16900.00,0.00,16900.00,0.00,standard,,credit_card,paid,,,,,1,false,
TXN-202401-01004137,2024-01-01,2024-01-01,,2026-01-15,BKK-R9,,,offline,18900.00,0.00,18900.00,0.00,standard,,debit_card,paid,,,,,1,false,
TXN-202401-01004439,2024-01-01,2024-01-01,,2026-01-15,REMOTE,,,online,61700.00,0.00,61700.00,0.00,express,,credit_card,paid,,,,web_20240101.jsonl:line12,1,false,
TXN-202401-01004729,2024-01-01,2024-01-01,,2026-01-15,BKK-R9,,,offline,18900.00,0.00,18900.00,0.00,standard,,mobile_wallet,paid,,,,,1,false,
TXN-202401-01004775,2024-01-01,2024-01-01,,2026-01-15,BKK-SIAM,,,offline,4900.00,0.00,4900.00,0.00,standard,,mobile_wallet,paid,,,,,1,false,
TXN-202401-01004800,2024-01-01,2024-01-01,,2026-01-15,BKK-SIAM,CUST-L3-B2B-004800,,offline,372800.00,0.00,372800.00,0.00,standard,,bank_transfer,paid,2024-03-01,2024-03-01,BT-202403-444299022868,,1,true,
TXN-202401-01004886,2024-01-01,2024-01-01,,2026-01-15,PTY-CTRL,,,offline,29900.00,0.00,29900.00,0.00,standard,,mobile_wallet,paid,,,,,1,false,
TXN-202401-01005163,2024-01-01,2024-01-01,,2026-01-15,REMOTE,,,online,73600.00,0.00,73600.00,0.00,express,,credit_card,paid,,,,web_20240101.jsonl:line18,1,false,
TXN-202401-01005412,2024-01-01,2024-01-01,,2026-01-15,BKK-PKT,,,offline,55900.00,0.00,55900.00,0.00,standard,,credit_card,paid,,,,,1,false,
TXN-202401-01005462,2024-01-01,2024-01-01,,2026-01-15,BKK-SIAM,,,offline,12900.00,0.00,12900.00,0.00,standard,,debit_card,paid,,,,,1,false,
TXN-202401-01005766,2024-01-01,2024-01-01,,2026-01-15,PTY-CTRL,,,offline,6900.00,0.00,6900.00,0.00,standard,,credit_card,paid,,,,,1,false,
TXN-202401-01005829,2024-01-01,2024-01-01,,2026-01-15,BKK-EMSP,,,offline,13400.00,0.00,13400.00,0.00,standard,,mobile_wallet,paid,,,,,1,false,
