shipping_id,business_event_date,posting_date,as_of_date,txn_id,vendor_id,tracking_number,origin_branch_code,destination_province,confirmation_status
986935662087,2024-01-01,2024-01-01,2026-01-15,TXN-202401-01001700,V-006,VS256701016585,BKK-EMSP,Bangkok,shipped
1023045785660,2024-01-01,2024-01-01,2026-01-15,TXN-202401-01002901,V-006,VS256701017552,REMOTE,Bangkok,shipped
280790720017,2024-01-01,2024-01-01,2026-01-15,TXN-202401-01004439,V-006,VS256701016670,REMOTE,Bangkok,shipped
83127274192,2024-01-01,2024-01-01,2026-01-15,TXN-202401-01004800,V-006,VS256701019062,BKK-SIAM,Bangkok,shipped
1064834398659,2024-01-01,2024-01-01,2026-01-15,TXN-202401-01005163,V-006,VS256701014785,REMOTE,Bangkok,shipped
812129823738,2024-01-01,2024-01-01,2026-01-15,TXN-202401-01006200,V-006,VS256701015890,PTY-CTRL,Chonburi,shipped
147972372882,2024-01-01,2024-01-01,2026-01-15,TXN-202401-01006500,V-006,VS256701011413,BKK-PKT,Bangkok,shipped
304738547651,2024-01-01,2024-01-01,2026-01-15,TXN-202401-01006900,V-006,VS256701015808,BKK-EMSP,Bangkok,shipped
778443369965,2024-01-01,2024-01-01,2026-01-15,TXN-202401-01007800,V-006,VS256701011760,BKK-R9,Bangkok,shipped
894138268703,2024-01-01,2024-01-01,2026-01-15,TXN-202401-01008135,V-006,VS256701012524,REMOTE,Bangkok,shipped
571857144159,2024-01-01,2024-01-01,2026-01-15,TXN-202401-01009000,V-006,VS256701018236,BKK-CTW,Bangkok,shipped
1003610803182,2024-01-01,2024-01-01,2026-01-15,TXN-202401-01013000,V-006,VS256701012724,UDN-CTRL,Udon Thani,shipped
897218521512,2024-01-01,2024-01-01,2026-01-15,TXN-202401-01014088,V-006,VS256701014531,REMOTE,Bangkok,shipped
416844529883,2024-01-01,2024-01-01,2026-01-15,TXN-202401-01015300,V-006,VS256701018719,BKK-SIAM,Bangkok,shipped
83114525253,2024-01-01,2024-01-01,2026-01-15,TXN-202401-01015726,V-006,VS256701012478,REMOTE,Bangkok,shipped
250370858834,2024-01-01,2024-01-01,2026-01-15,TXN-202401-01016000,V-006,VS256701017528,BKK-PKT,Bangkok,shipped
758166244406,2024-01-01,2024-01-01,2026-01-15,TXN-202401-01016500,V-006,VS256701016771,PTY-CTRL,Chonburi,shipped
468362119336,2024-01-01,2024-01-01,2026-01-15,TXN-202401-01017801,V-006,VS256701019904,REMOTE,Bangkok,shipped
578848201424,2024-01-01,2024-01-01,2026-01-15,TXN-202401-01021000,V-006,VS256701016783,BKK-EMSP,Bangkok,shipped
824986282320,2024-01-01,2024-01-01,2026-01-15,TXN-202401-01021900,V-006,VS256701014853,BKK-SIAM,Bangkok,shipped
1064777268908,2024-01-01,2024-01-01,2026-01-15,TXN-202401-01022089,V-006,VS256701010547,REMOTE,Bangkok,shipped
666532724972,2024-01-01,2024-01-01,2026-01-15,TXN-202401-01022300,V-006,VS256701018190,BKK-CTW,Bangkok,shipped
153443570958,2024-01-01,2024-01-01,2026-01-15,TXN-202401-01023800,V-006,VS256701015896,BKK-EMSP,Bangkok,shipped
223362917053,2024-01-01,2024-01-01,2026-01-15,TXN-202401-01025300,V-006,VS256701015762,BKK-EMSP,Bangkok,shipped
490529288026,2024-01-01,2024-01-01,2026-01-15,TXN-202401-01025700,V-006,VS256701014498,BKK-R9,Bangkok,shipped
102182769424,2024-01-01,2024-01-01,2026-01-15,TXN-202401-01025900,V-006,VS256701013447,BKK-PKT,Bangkok,shipped
636325176789,2024-01-01,2024-01-01,2026-01-15,TXN-202401-01026334,V-006,VS256701019455,REMOTE,Bangkok,shipped
1016329199415,2024-01-01,2024-01-01,2026-01-15,TXN-202401-01026511,V-006,VS256701015611,REMOTE,Bangkok,shipped
808811320919,2024-01-01,2024-01-01,2026-01-15,TXN-202401-01026900,V-006,VS256701010467,UDN-CTRL,Udon Thani,shipped
829007412160,2024-01-01,2024-01-01,2026-01-15,TXN-202401-01027200,V-006,VS256701010060,BKK-SIAM,Bangkok,shipped
519293704298,2024-01-01,2024-01-01,2026-01-15,TXN-202401-01028300,V-006,VS256701010926,BKK-CTW,Bangkok,shipped
858204258652,2024-01-01,2024-01-01,2026-01-15,TXN-202401-01028600,V-006,VS256701018433,PTY-CTRL,Chonburi,shipped
105405836614,2024-01-02,2024-01-02,2026-01-15,TXN-202401-02000900,V-006,VS256701023952,BKK-R9,Bangkok,shipped
