doc_id,doc_kind,template_name,body_source,issue_date,source_table,source_pk
POL-001,policy_doc,policy_doc,POL-001.md,2024-01-01,DIM_POLICY_VERSION,1
POL-002,policy_doc,policy_doc,POL-002.md,2025-03-01,DIM_POLICY_VERSION,2
POL-003,policy_doc,policy_doc,POL-003.md,2024-01-01,DIM_POLICY_VERSION,3
POL-004,policy_doc,policy_doc,POL-004.md,2025-04-01,DIM_POLICY_VERSION,4
POL-005,policy_doc,policy_doc,POL-005.md,2024-01-01,DIM_POLICY_VERSION,5
POL-006,policy_doc,policy_doc,POL-006.md,2025-02-15,DIM_POLICY_VERSION,6
POL-007,policy_doc,policy_doc,POL-007.md,2025-05-01,DIM_POLICY_VERSION,7
POL-008,policy_doc,policy_doc,POL-008.md,2025-06-01,DIM_POLICY_VERSION,8
POL-009,policy_doc,policy_doc,POL-009.md,2024-01-01,DIM_POLICY_VERSION,9
POL-010,policy_doc,policy_doc,POL-010.md,2025-04-01,DIM_POLICY_VERSION,10
POL-011,policy_doc,policy_doc,POL-011.md,2024-01-01,DIM_POLICY_VERSION,11
POL-012,policy_doc,policy_doc,POL-012.md,2025-03-15,DIM_POLICY_VERSION,12
VC-001,vendor_contract,vendor_contract,VC-001.md,2024-01-01,DIM_VENDOR_CONTRACT_VERSION,1
VC-002,vendor_contract,vendor_contract,VC-002.md,2025-04-01,DIM_VENDOR_CONTRACT_VERSION,2
VC-003,vendor_contract,vendor_contract,VC-003.md,2025-07-01,DIM_VENDOR_CONTRACT_VERSION,3
VC-004,vendor_contract,vendor_contract,VC-004.md,2025-10-01,DIM_VENDOR_CONTRACT_VERSION,4
VC-005,vendor_contract,vendor_contract,VC-005.md,2024-01-01,DIM_VENDOR_CONTRACT_VERSION,5
VC-006,vendor_contract,vendor_contract,VC-006.md,2025-06-01,DIM_VENDOR_CONTRACT_VERSION,6
VC-007,vendor_contract,vendor_contract,VC-007.md,2025-09-01,DIM_VENDOR_CONTRACT_VERSION,7
