id,question,answer_source_type,source_artifacts,answer_free_text,Note
L3-Q-EASY-001,MSRP ของสินค้ารหัส NT-LT-001 (NovaTech laptop) เป็นเท่าไหร่ครับ,tables,tables/DIM_PRODUCT.csv,"MSRP ของสินค้า NT-LT-001 คือ 42,900.00 บาท ตาม DIM_PRODUCT.",
L3-Q-EASY-002,ใน FACT_VENDOR_PAYMENT มีรายการ vendor payment กี่รายการที่เดือนของ posting_date ไม่ตรงกับเดือนของ business_event_date ครับ (นับเป็นจำนวนแถว โดยถือว่าต่างกันก็ต่อเมื่อ ปี-เดือน ของสองคอลัมน์นี้ไม่ตรงกัน),tables,tables/FACT_VENDOR_PAYMENT.csv,มีรายการ vendor payment ที่ปี-เดือนของ posting_date ไม่ตรงกับ business_event_date ทั้งหมด 767 แถว.,
L3-Q-EASY-003,ในตาราง FACT_SHIPPING รายการขนส่งทั้งหมดของ FahMai ถูกจัดการโดย vendor รายใดบ้าง ขอชื่อ vendor (ชื่อบริษัทขนส่ง) และส่วนแบ่งของ vendor นั้นเทียบกับจำนวนรายการขนส่งทั้งหมด (เป็นเปอร์เซ็นต์) ครับ,tables,tables/FACT_SHIPPING.csv; tables/DIM_VENDOR.csv,"รายการขนส่งทั้งหมดใน FACT_SHIPPING ถูกจัดการโดย VeloShip (V-006) จำนวน 23,182 รายการ คิดเป็น 100.00% ของทั้งหมด.",
L3-Q-EASY-004,ในตาราง FACT_CS_INTERACTION พนักงาน CS คนไหน (employee_id) ที่มีจำนวน interaction บันทึกไว้มากที่สุดครับ และมีทั้งหมดกี่ครั้ง,tables,tables/FACT_CS_INTERACTION.csv,พนักงาน CS ที่มี interaction มากที่สุดคือ EMP-L3-00010 รวม 730 ครั้ง.,
L3-Q-EASY-005,FahMai มี vendor ที่เป็น partner brand (พาร์ทเนอร์แบรนด์สินค้า) ทั้งหมดกี่ราย และ vendor_id ของแต่ละรายคืออะไรบ้างครับ,tables,tables/DIM_VENDOR.csv,FahMai มี partner brand vendor 2 ราย คือ V-001 (NovaTech) และ V-002 (NovaTech Service).,
L3-Q-EASY-006,ในปี 2024-2025 สาขาไหนของฟ้าใหม่ที่มีจำนวน transaction การขายมากที่สุด และยอดรายได้รวม (net_total_thb) ของสาขานั้นเป็นเท่าไหร่ครับ,tables,tables/FACT_SALES.csv; tables/DIM_BRANCH.csv,"ในช่วงปี 2024-2025 สาขาที่มี transaction การขายมากที่สุดคือ BKK-SIAM (FahMai Siam) จำนวน 18,084 transactions และ net_total_thb รวม 1,039,386,349.00 บาท.",
L3-Q-EASY-007,ในฐานข้อมูลลูกค้าของฟ้าใหม่ มีลูกค้าทั้งหมดกี่รายในแต่ละ loyalty_tier ครับ ขอจำนวนแยกตามแต่ละ tier ที่ปรากฏใน DIM_CUSTOMER,tables,tables/DIM_CUSTOMER.csv,"จำนวนลูกค้าแยกตาม loyalty_tier คือ none 7,800 ราย, silver 7,200 ราย, gold 7,500 ราย, และ platinum 7,500 ราย.",
L3-Q-EASY-008,FahMai มีสาขา/สถานที่ทั้งหมดกี่แห่งในไดเรกทอรี DIM_BRANCH ครับ (นับทุกประเภท ทั้งสำนักงานใหญ่ สาขาหน้าร้าน และช่องทาง remote),tables,tables/DIM_BRANCH.csv,DIM_BRANCH มีสาขา/สถานที่ทั้งหมด 11 แห่ง.,
L3-Q-EASY-009,ใครเป็น CEO ของ FahMai ณ วันที่ 1 มิถุนายน 2568 (หลังการเปลี่ยนผ่านผู้บริหารเมื่อ 15 มกราคม 2568) ครับ ขอชื่อ-นามสกุลตามที่ระบุไว้ใน DIM_EMPLOYEE,tables,tables/DIM_EMPLOYEE.csv,ณ วันที่ 1 มิถุนายน 2568 หลังการเปลี่ยนผ่านผู้บริหาร CEO คือ Naret Vision (EMP-L3-00013) ตาม DIM_EMPLOYEE.,
L3-Q-EASY-010,ระยะเวลารับประกันของสินค้ารหัส AW-MN-001 (ArcWave monitor flagship) ตามที่ระบุในไดเรกทอรี DIM_PRODUCT คือกี่เดือนครับ,tables,tables/DIM_PRODUCT.csv,สินค้า AW-MN-001 มีระยะเวลารับประกัน 24 เดือน.,
